Kecamatan,Tanggal,Curah Hujan,Debit Air,Muka Air,Tinggi Banjir,Banjir Ya/Tidak
Dayeuhkolot,2020-01-01,48.0,90.75,5.16,-,0
Dayeuhkolot,2020-01-02,0.0,70.82,4.52,-,0
Dayeuhkolot,2020-01-03,-,60.22,4.13,-,0
Dayeuhkolot,2020-01-04,0.0,55.49,3.94,-,0
Dayeuhkolot,2020-01-05,0.0,53.03,3.84,-,0
Dayeuhkolot,2020-01-06,-,51.92,3.8,-,0
Dayeuhkolot,2020-01-07,5.0,52.5,3.82,-,0
Dayeuhkolot,2020-01-08,0.0,54.67,3.91,-,0
Dayeuhkolot,2020-01-09,10.0,63.35,4.25,-,0
Dayeuhkolot,2020-01-10,4.5,59.76,4.11,-,0
Dayeuhkolot,2020-01-11,5.5,66.33,4.36,-,0
Dayeuhkolot,2020-01-12,4.0,62.16,4.2,-,0
Dayeuhkolot,2020-01-13,-,55.77,3.95,-,0
Dayeuhkolot,2020-01-14,-,51.25,3.76,-,0
Dayeuhkolot,2020-01-15,-,49.91,3.7,-,0
Dayeuhkolot,2020-01-16,-,48.59,3.64,-,0
Dayeuhkolot,2020-01-17,68.0,50.26,3.71,-,0
Dayeuhkolot,2020-01-18,3.0,66.93,4.37,-,0
Dayeuhkolot,2020-01-19,1.0,93.17,5.24,-,0
Dayeuhkolot,2020-01-20,-,101.88,5.49,-,0
Dayeuhkolot,2020-01-21,-,100.01,5.43,-,0
Dayeuhkolot,2020-01-22,-,88.99,5.08,-,0
Dayeuhkolot,2020-01-23,52.5,110.27,5.74,-,0
Dayeuhkolot,2020-01-24,52.0,140.18,6.49,-,0
Dayeuhkolot,2020-01-25,24.0,160.29,6.94,-,0
Dayeuhkolot,2020-01-26,-,169.74,07.09,-,0
Dayeuhkolot,2020-01-27,-,119.6,5.94,-,0
Dayeuhkolot,2020-01-28,3.0,135.74,6.43,-,0
Dayeuhkolot,2020-01-29,29.0,103.51,5.62,-,0
Dayeuhkolot,2020-01-30,17.5,88.61,5.21,-,0
Dayeuhkolot,2020-01-31,-,81.77,4.98,-,0
Dayeuhkolot,2020-02-01,-,62.32,4.35,-,0
Dayeuhkolot,2020-02-02,-,61.3,4.33,-,0
Dayeuhkolot,2020-02-03,-,56.26,4.14,-,0
Dayeuhkolot,2020-02-04,0.0,70.31,4.7,-,0
Dayeuhkolot,2020-02-05,49.0,91.39,5.39,-,0
Dayeuhkolot,2020-02-06,33.0,103.92,5.75,-,0
Dayeuhkolot,2020-02-07,18.0,114.68,6.08,-,1
Dayeuhkolot,2020-02-08,-,105.74,5.81,-,0
Dayeuhkolot,2020-02-09,-,93.99,5.53,-,0
Dayeuhkolot,2020-02-10,-,95.04,5.56,-,0
Dayeuhkolot,2020-02-11,3.5,86.61,5.32,-,0
Dayeuhkolot,2020-02-12,-,69.86,4.76,-,0
Dayeuhkolot,2020-02-13,5.5,73.93,4.92,-,0
Dayeuhkolot,2020-02-14,7.0,78.73,5.13,-,0
Dayeuhkolot,2020-02-15,2.0,80.85,5.2,-,1
Dayeuhkolot,2020-02-16,33.5,119.28,6.32,-,0
Dayeuhkolot,2020-02-17,12.0,123.71,6.43,-,0
Dayeuhkolot,2020-02-18,48.0,119.76,6.35,-,0
Dayeuhkolot,2020-02-19,11.0,118.85,6.34,-,0
Dayeuhkolot,2020-02-20,1.0,89.19,5.5,-,0
Dayeuhkolot,2020-02-21,1.5,76.47,5.13,-,0
Dayeuhkolot,2020-02-22,0.0,75.58,5.12,-,0
Dayeuhkolot,2020-02-23,-,62.32,4.64,-,0
Dayeuhkolot,2020-02-24,0.0,60.38,4.61,-,0
Dayeuhkolot,2020-02-25,3.0,76.19,5.2,-,0
Dayeuhkolot,2020-02-26,-,61.84,4.68,-,0
Dayeuhkolot,2020-02-27,3.0,65.38,4.84,-,0
Dayeuhkolot,2020-02-28,7.5,77.52,5.28,-,0
Dayeuhkolot,2020-02-29,7.5,86.89,5.6,-,0
Dayeuhkolot,2020-03-01,1.5,88.02,5.64,-,0
Dayeuhkolot,2020-03-02,0.0,81.72,5.44,-,0
Dayeuhkolot,2020-03-03,-,73.35,5.19,-,0
Dayeuhkolot,2020-03-04,-,78.73,5.39,-,0
Dayeuhkolot,2020-03-05,17.5,80.03,5.43,-,0
Dayeuhkolot,2020-03-06,0.0,72.34,5.2,-,0
Dayeuhkolot,2020-03-07,9.0,73.69,5.26,-,0
Dayeuhkolot,2020-03-08,-,66.25,5.01,-,0
Dayeuhkolot,2020-03-09,0.0,61.08,4.82,-,0
Dayeuhkolot,2020-03-10,-,57.37,4.69,-,0
Dayeuhkolot,2020-03-11,-,54.65,4.59,-,0
Dayeuhkolot,2020-03-12,-,52.24,4.5,-,0
Dayeuhkolot,2020-03-13,0.0,52.94,4.55,-,0
Dayeuhkolot,2020-03-14,-,55.61,4.67,-,0
Dayeuhkolot,2020-03-15,26.0,68.63,5.19,-,0
Dayeuhkolot,2020-03-16,8.0,89.66,5.91,-,1
Dayeuhkolot,2020-03-17,27.0,69.52,5.22,-,0
Dayeuhkolot,2020-03-18,-,56.54,4.77,-,0
Dayeuhkolot,2020-03-19,18.0,60.78,4.95,-,1
Dayeuhkolot,2020-03-20,85.0,76.77,5.54,-,0
Dayeuhkolot,2020-03-21,-,130.28,7.06,-,0
Dayeuhkolot,2020-03-22,0.0,72.77,5.41,-,0
Dayeuhkolot,2020-03-23,-,60.35,4.99,-,0
Dayeuhkolot,2020-03-24,4.0,57.33,4.88,-,0
Dayeuhkolot,2020-03-25,1.0,55.76,4.84,-,0
Dayeuhkolot,2020-03-26,-,60.01,5.02,-,0
Dayeuhkolot,2020-03-27,8.0,82.22,5.81,-,0
Dayeuhkolot,2020-03-28,4.5,73.2,5.5,-,0
Dayeuhkolot,2020-03-29,4.5,65.85,5.29,-,0
Dayeuhkolot,2020-03-30,23.0,95.8,6.29,-,0
Dayeuhkolot,2020-03-31,-,148.54,7.64,-,0
Dayeuhkolot,2020-04-01,-,149.24,7.64,-,0
Dayeuhkolot,2020-04-02,-,121.48,6.99,-,0
Dayeuhkolot,2020-04-03,-,101.34,6.48,-,0
Dayeuhkolot,2020-04-04,-,90.9,6.2,-,0
Dayeuhkolot,2020-04-05,-,134.03,7.38,-,0
Dayeuhkolot,2020-04-06,-,124.54,7.13,-,0
Dayeuhkolot,2020-04-07,0.0,111.01,6.81,-,0
Dayeuhkolot,2020-04-08,-,113.41,6.89,-,0
Dayeuhkolot,2020-04-09,-,108.7,6.77,-,0
Dayeuhkolot,2020-04-10,-,97.5,6.47,-,0
Dayeuhkolot,2020-04-11,0.0,84.8,6.1,-,0
Dayeuhkolot,2020-04-12,0.0,66.4,5.49,-,0
Dayeuhkolot,2020-04-13,-,67.39,5.56,-,0
Dayeuhkolot,2020-04-14,-,62.92,5.4,-,0
Dayeuhkolot,2020-04-15,-,56.94,5.18,-,0
Dayeuhkolot,2020-04-16,12.0,62.27,5.41,-,0
Dayeuhkolot,2020-04-17,-,53.22,5.03,-,0
Dayeuhkolot,2020-04-18,27.0,75.87,5.93,-,0
Dayeuhkolot,2020-04-19,2.0,53.98,5.06,-,0
Dayeuhkolot,2020-04-20,2.0,50.8,5,-,0
Dayeuhkolot,2020-04-21,19.0,63.4,5.52,-,0
Dayeuhkolot,2020-04-22,15.5,58.74,5.31,-,0
Dayeuhkolot,2020-04-23,-,50.69,5.04,-,0
Dayeuhkolot,2020-04-24,-,42.49,4.66,-,0
Dayeuhkolot,2020-04-25,-,44.86,4.79,-,0
Dayeuhkolot,2020-04-26,-,36.72,4.4,-,0
Dayeuhkolot,2020-04-27,-,37.2,4.44,-,0
Dayeuhkolot,2020-04-28,12.0,55.45,5.31,-,0
Dayeuhkolot,2020-04-29,3.5,50.67,5.1,-,0
Dayeuhkolot,2020-04-30,41.0,76.85,6.14,-,0
Dayeuhkolot,2020-05-01,81.5,63.37,5.64,-,1
Dayeuhkolot,2020-05-02,62.5,96.89,6.78,-,0
Dayeuhkolot,2020-05-03,-,57.74,5.42,-,0
Dayeuhkolot,2020-05-04,24.0,55.51,5.39,-,0
Dayeuhkolot,2020-05-05,0.0,50.8,5.2,-,0
Dayeuhkolot,2020-05-06,11.5,42.19,4.81,-,0
Dayeuhkolot,2020-05-07,-,39.71,4.7,-,0
Dayeuhkolot,2020-05-08,-,33.05,4.36,-,0
Dayeuhkolot,2020-05-09,16.0,31.43,4.28,-,0
Dayeuhkolot,2020-05-10,-,32.98,4.38,-,0
Dayeuhkolot,2020-05-11,62.5,49.67,5.24,-,0
Dayeuhkolot,2020-05-12,0.0,47.68,5.17,-,0
Dayeuhkolot,2020-05-13,3.0,42.91,4.93,-,0
Dayeuhkolot,2020-05-14,-,31.63,4.36,-,0
Dayeuhkolot,2020-05-15,-,27.92,4.15,-,0
Dayeuhkolot,2020-05-16,-,26.4,4.06,-,0
Dayeuhkolot,2020-05-17,-,27.97,4.18,-,0
Dayeuhkolot,2020-05-18,16.5,31.97,4.43,-,0
Dayeuhkolot,2020-05-19,10.5,48.38,5.3,-,0
Dayeuhkolot,2020-05-20,3.5,45.63,5.16,-,0
Dayeuhkolot,2020-05-21,16.5,40.33,4.92,-,0
Dayeuhkolot,2020-05-22,-,31.58,4.47,-,0
Dayeuhkolot,2020-05-23,-,27.67,4.24,-,0
Dayeuhkolot,2020-05-24,-,26.93,4.21,-,0
Dayeuhkolot,2020-05-25,-,39.25,4.95,-,0
Dayeuhkolot,2020-05-26,-,37.1,4.84,-,0
Dayeuhkolot,2020-05-27,-,36.32,4.81,-,0
