Kecamatan,Tanggal,Curah Hujan,Debit Air,Muka Air,Tinggi Banjir,Banjir Ya/Tidak
Dayeuhkolot,1/1/2020,48,90.75,5.16,0,0
Dayeuhkolot,1/2/2020,0,70.82,4.52,0,0
Dayeuhkolot,1/3/2020,0,60.22,4.13,0,0
Dayeuhkolot,1/4/2020,0,55.49,3.94,0,0
Dayeuhkolot,1/5/2020,0,53.03,3.84,0,0
Dayeuhkolot,1/6/2020,0,51.92,3.8,0,0
Dayeuhkolot,1/7/2020,5,52.5,3.82,0,0
Dayeuhkolot,1/8/2020,0,54.67,3.91,0,0
Dayeuhkolot,1/9/2020,10,63.35,4.25,0,0
Dayeuhkolot,1/10/2020,4.5,59.76,4.11,0,0
Dayeuhkolot,1/11/2020,5.5,66.33,4.36,0,0
Dayeuhkolot,1/12/2020,4,62.16,4.2,0,0
Dayeuhkolot,1/13/2020,0,55.77,3.95,0,0
Dayeuhkolot,1/14/2020,0,51.25,3.76,0,0
Dayeuhkolot,1/15/2020,0,49.91,3.7,0,0
Dayeuhkolot,1/16/2020,0,48.59,3.64,0,0
Dayeuhkolot,1/17/2020,68,50.26,3.71,0,0
Dayeuhkolot,1/18/2020,3,66.93,4.37,0,0
Dayeuhkolot,1/19/2020,1,93.17,5.24,0,0
Dayeuhkolot,1/20/2020,0,101.88,5.49,0,0
Dayeuhkolot,1/21/2020,0,100.01,5.43,0,0
Dayeuhkolot,1/22/2020,0,88.99,5.08,0,0
Dayeuhkolot,1/23/2020,52.5,110.27,5.74,0,0
Dayeuhkolot,1/24/2020,52,140.18,6.49,0,0
Dayeuhkolot,1/25/2020,24,160.29,6.94,0,0
Dayeuhkolot,1/26/2020,0,169.74,7.09,0,0
Dayeuhkolot,1/27/2020,0,119.6,5.94,0,0
Dayeuhkolot,1/28/2020,3,135.74,6.43,0,0
Dayeuhkolot,1/29/2020,29,103.51,5.62,0,0
Dayeuhkolot,1/30/2020,17.5,88.61,5.21,0,0
Dayeuhkolot,1/31/2020,0,81.77,4.98,0,0
Dayeuhkolot,2/1/2020,0,62.32,4.35,0,0
Dayeuhkolot,2/2/2020,0,61.3,4.33,0,0
Dayeuhkolot,2/3/2020,0,56.26,4.14,0,0
Dayeuhkolot,2/4/2020,0,70.31,4.7,0,0
Dayeuhkolot,2/5/2020,49,91.39,5.39,0,0
Dayeuhkolot,2/6/2020,33,103.92,5.75,0,0
Dayeuhkolot,2/7/2020,18,114.68,6.08,0,1
Dayeuhkolot,2/8/2020,0,105.74,5.81,0,0
Dayeuhkolot,2/9/2020,0,93.99,5.53,0,0
Dayeuhkolot,2/10/2020,0,95.04,5.56,0,0
Dayeuhkolot,2/11/2020,3.5,86.61,5.32,0,0
Dayeuhkolot,2/12/2020,0,69.86,4.76,0,0
Dayeuhkolot,2/13/2020,5.5,73.93,4.92,0,0
Dayeuhkolot,2/14/2020,7,78.73,5.13,0,0
Dayeuhkolot,2/15/2020,2,80.85,5.2,0,1
Dayeuhkolot,2/16/2020,33.5,119.28,6.32,0,0
Dayeuhkolot,2/17/2020,12,123.71,6.43,0,0
Dayeuhkolot,2/18/2020,48,119.76,6.35,0,0
Dayeuhkolot,2/19/2020,11,118.85,6.34,0,0
Dayeuhkolot,2/20/2020,1,89.19,5.5,0,0
Dayeuhkolot,2/21/2020,1.5,76.47,5.13,0,0
Dayeuhkolot,2/22/2020,0,75.58,5.12,0,0
Dayeuhkolot,2/23/2020,0,62.32,4.64,0,0
Dayeuhkolot,2/24/2020,0,60.38,4.61,0,0
Dayeuhkolot,2/25/2020,3,76.19,5.2,0,0
Dayeuhkolot,2/26/2020,0,61.84,4.68,0,0
Dayeuhkolot,2/27/2020,3,65.38,4.84,0,0
Dayeuhkolot,2/28/2020,7.5,77.52,5.28,0,0
