Kecamatan,Tanggal,Curah Hujan,Debit Air,Muka Air,Tinggi Banjir,Banjir Ya/Tidak
Cileunca Wanasari,2020-01-01,20,13.13,1.22,-,0
Cileunca Wanasari,2020-01-02,-,7.41,0.93,-,0
Cileunca Wanasari,2020-01-03,-,6.4,0.89,-,0
Cileunca Wanasari,2020-01-04,-,7.55,0.97,-,0
Cileunca Wanasari,2020-01-05,-,7.0,0.94,-,0
Cileunca Wanasari,2020-01-06,-,7.51,0.97,-,0
Cileunca Wanasari,2020-01-07,6,7.0,0.94,-,0
Cileunca Wanasari,2020-01-08,19,6.19,0.87,-,0
Cileunca Wanasari,2020-01-09,-,6.73,0.91,-,0
Cileunca Wanasari,2020-01-10,8,7.61,0.97,-,0
Cileunca Wanasari,2020-01-11,-,7.16,0.94,-,0
Cileunca Wanasari,2020-01-12,-,7.91,0.99,-,0
Cileunca Wanasari,2020-01-13,-,7.17,0.94,-,0
Cileunca Wanasari,2020-01-14,4,6.31,0.88,-,0
Cileunca Wanasari,2020-01-15,-,07.05,0.94,-,0
Cileunca Wanasari,2020-01-16,-,7.17,0.94,-,0
Cileunca Wanasari,2020-01-17,-,6.96,0.93,-,0
Cileunca Wanasari,2020-01-18,-,07.05,0.94,-,0
Cileunca Wanasari,2020-01-19,-,09.03,01.06,-,0
Cileunca Wanasari,2020-01-20,-,7.86,0.99,-,0
Cileunca Wanasari,2020-01-21,7,7.52,0.97,-,0
Cileunca Wanasari,2020-01-22,-,6.32,0.88,-,0
Cileunca Wanasari,2020-01-23,26,5.81,0.84,-,0
Cileunca Wanasari,2020-01-24,5,6.12,0.87,-,0
Cileunca Wanasari,2020-01-25,7,07.06,0.94,-,0
Cileunca Wanasari,2020-01-26,7,7.62,0.97,-,0
Cileunca Wanasari,2020-01-27,4,7.62,0.97,-,0
Cileunca Wanasari,2020-01-28,-,07.06,0.94,-,0
Cileunca Wanasari,2020-01-29,-,5.81,0.84,-,0
Cileunca Wanasari,2020-01-30,24,6.89,0.93,-,0
Cileunca Wanasari,2020-01-31,6,7.37,0.95,-,0
Cileunca Wanasari,2020-02-01,-,9.61,1,-,0
Cileunca Wanasari,2020-02-02,-,7.78,0.98,-,0
Cileunca Wanasari,2020-02-03,13,7.24,0.94,-,0
Cileunca Wanasari,2020-02-04,35,14.47,1.34,-,0
Cileunca Wanasari,2020-02-05,-,10.8,1.15,-,0
Cileunca Wanasari,2020-02-06,70,10.1,1.13,-,0
Cileunca Wanasari,2020-02-07,14,8.74,1.0,-,0
Cileunca Wanasari,2020-02-08,-,7.9,0.99,-,0
Cileunca Wanasari,2020-02-09,30,9.15,1.0,-,0
Cileunca Wanasari,2020-02-10,-,09.04,1.0,-,0
Cileunca Wanasari,2020-02-11,-,7.29,0.95,-,0
Cileunca Wanasari,2020-02-12,-,9.9,1.11,-,0
Cileunca Wanasari,2020-02-13,-,9.73,1.1,-,0
Cileunca Wanasari,2020-02-14,-,10.15,1.13,-,0
Cileunca Wanasari,2020-02-15,66,09.02,1.0,-,0
Cileunca Wanasari,2020-02-16,41,10.23,1.13,-,0
Cileunca Wanasari,2020-02-17,15,9.26,1.0,-,0
Cileunca Wanasari,2020-02-18,19,9.71,1.1,-,0
Cileunca Wanasari,2020-02-19,8,10.16,1.13,-,0
Cileunca Wanasari,2020-02-20,17,9.31,1.0,-,0
Cileunca Wanasari,2020-02-21,-,8.87,1.0,-,0
Cileunca Wanasari,2020-02-22,6,9.16,1.0,-,0
Cileunca Wanasari,2020-02-23,10,10.91,1.16,-,0
Cileunca Wanasari,2020-02-24,-,13.68,1.28,-,0
Cileunca Wanasari,2020-02-25,26,9.16,1.0,-,0
Cileunca Wanasari,2020-02-26,-,9.16,1.1,-,0
Cileunca Wanasari,2020-02-27,15,10.24,1.13,-,0
Cileunca Wanasari,2020-02-28,36,9.8,1.11,-,0
Cileunca Wanasari,2020-02-29,45,9.85,1.11,-,0
Cileunca Wanasari,2020-03-01,50,8.93,1.0,-,0
