Kecamatan,Tanggal,Curah Hujan,Debit Air,Muka Air,Tinggi Banjir,Banjir Ya/Tidak
Cisanti,2020-01-01,33.5,6.82,0.42,-,0
Cisanti,2020-01-02,21.2,6.54,0.39,-,0
Cisanti,2020-01-03,0,6.16,0.35,-,0
Cisanti,2020-01-04,0,6.0,0.33,-,0
Cisanti,2020-01-05,11.2,5.89,0.32,-,0
Cisanti,2020-01-06,9.5,6.75,0.43,-,0
Cisanti,2020-01-07,3,6.37,0.37,-,0
Cisanti,2020-01-08,8.3,06.03,0.33,-,0
Cisanti,2020-01-09,9,06.01,0.34,-,0
Cisanti,2020-01-10,16.8,06.09,0.34,-,0
Cisanti,2020-01-11,20,6.56,0.41,-,0
Cisanti,2020-01-12,2.5,06.09,0.34,-,0
Cisanti,2020-01-13,-,06.06,0.34,-,0
Cisanti,2020-01-14,-,5.69,0.31,-,0
Cisanti,2020-01-15,1.5,5.56,0.3,-,0
Cisanti,2020-01-16,0,5.61,0.3,-,0
Cisanti,2020-01-17,-13,5.81,0.32,-,0
Cisanti,2020-01-18,-,6,0.34,-,0
Cisanti,2020-01-19,3,7.17,0.5,-,0
Cisanti,2020-01-20,-,7.32,0.54,-,0
Cisanti,2020-01-21,32.8,6.71,0.42,-,0
Cisanti,2020-01-22,21,6.17,0.36,-,0
Cisanti,2020-01-23,0,7.12,0.48,-,0
Cisanti,2020-01-24,38,6.9,0.45,-,0
Cisanti,2020-01-25,5.5,6.78,0.43,-,0
Cisanti,2020-01-26,35.7,07.04,0.47,-,0
Cisanti,2020-01-27,11.6,7.42,0.52,-,0
Cisanti,2020-01-28,0,6.78,0.43,-,0
Cisanti,2020-01-29,-,06.05,0.35,-,0
Cisanti,2020-01-30,-,6.98,0.49,-,0
Cisanti,2020-01-31,8.9,6.54,0.41,-,0
Cisanti,2020-02-01,-,5.88,0.34,-,0
Cisanti,2020-02-02,3,5.81,0.33,-,0
Cisanti,2020-02-03,7.4,5.65,0.32,-,0
Cisanti,2020-02-04,- 15.5,5.6,0.31,-,0
Cisanti,2020-02-05,26.5,6.0,0.36,-,0
Cisanti,2020-02-06,- 24.5,6.56,0.43,-,0
Cisanti,2020-02-07,16,6.91,0.46,-,0
Cisanti,2020-02-08,0,6.13,0.36,-,0
