Kecamatan,Tanggal,Curah Hujan,Debit Air,Muka Air,Tinggi Banjir,Banjir Ya/Tidak
Kertamanah-Margamukti,2020-01-01,26,13.13,1.22,-,0
Kertamanah-Margamukti,2020-01-02,0,7.41,0.93,-,0
Kertamanah-Margamukti,2020-01-03,6,6.4,0.89,-,0
Kertamanah-Margamukti,2020-01-04,6,7.55,0.97,-,0
Kertamanah-Margamukti,2020-01-05,"7,5",7.0,0.94,-,0
Kertamanah-Margamukti,2020-01-06,0,7.51,0.97,-,0
Kertamanah-Margamukti,2020-01-07,9,7.0,0.94,-,0
Kertamanah-Margamukti,2020-01-08,3,6.19,0.87,-,0
Kertamanah-Margamukti,2020-01-09,0,6.73,0.91,-,0
Kertamanah-Margamukti,2020-01-10,25,7.61,0.97,-,0
Kertamanah-Margamukti,2020-01-11,"12,5",7.16,0.94,-,0
Kertamanah-Margamukti,2020-01-12,0,7.91,0.99,-,0
Kertamanah-Margamukti,2020-01-13,"0,01",7.17,0.94,-,0
Kertamanah-Margamukti,2020-01-14,"3,5",6.31,0.88,-,0
Kertamanah-Margamukti,2020-01-15,"7,5",07.05,0.94,-,0
Kertamanah-Margamukti,2020-01-16,0,7.17,0.94,-,0
Kertamanah-Margamukti,2020-01-17,"2,5",6.96,0.93,-,0
Kertamanah-Margamukti,2020-01-18,4,07.05,0.94,-,0
Kertamanah-Margamukti,2020-01-19,3,09.03,01.06,-,0
Kertamanah-Margamukti,2020-01-20,0,7.86,0.99,-,0
Kertamanah-Margamukti,2020-01-21,4,7.52,0.97,-,0
Kertamanah-Margamukti,2020-01-22,3,6.32,0.88,-,0
Kertamanah-Margamukti,2020-01-23,"5,5",5.81,0.84,-,0
Kertamanah-Margamukti,2020-01-24,0,6.12,0.87,-,0
Kertamanah-Margamukti,2020-01-25,17,07.06,0.94,-,0
Kertamanah-Margamukti,2020-01-26,2,7.62,0.97,-,0
Kertamanah-Margamukti,2020-01-27,3,7.62,0.97,-,0
Kertamanah-Margamukti,2020-01-28,3,07.06,0.94,-,0
Kertamanah-Margamukti,2020-01-29,5,5.81,0.84,-,0
Kertamanah-Margamukti,2020-01-30,0,6.89,0.93,-,0
Kertamanah-Margamukti,2020-01-31,"5,5",7.37,0.95,-,0
Kertamanah-Margamukti,2020-02-01,0,9.61,1,-,0
Kertamanah-Margamukti,2020-02-02,0,7.78,0.98,-,0
Kertamanah-Margamukti,2020-02-03,0,7.24,0.94,-,0
Kertamanah-Margamukti,2020-02-04,0,14.47,1.34,-,0
Kertamanah-Margamukti,2020-02-05,0,10.8,1.15,-,0
Kertamanah-Margamukti,2020-02-06,0,10.1,1.13,-,0
Kertamanah-Margamukti,2020-02-07,0,8.74,1.0,-,0
Kertamanah-Margamukti,2020-02-08,0,7.9,0.99,-,0
Kertamanah-Margamukti,2020-02-09,0,9.15,1.0,-,0
Kertamanah-Margamukti,2020-02-10,0,09.04,1.0,-,0
Kertamanah-Margamukti,2020-02-11,0,7.29,0.95,-,0
Kertamanah-Margamukti,2020-02-12,0,9.9,1.11,-,0
Kertamanah-Margamukti,2020-02-13,0,9.73,1.1,-,0
Kertamanah-Margamukti,2020-02-14,0,10.15,1.13,-,0
Kertamanah-Margamukti,2020-02-15,0,09.02,1.0,-,0
Kertamanah-Margamukti,2020-02-16,0,10.23,1.13,-,0
Kertamanah-Margamukti,2020-02-17,0,9.26,1.0,-,0
Kertamanah-Margamukti,2020-02-18,0,9.71,1.1,-,0
Kertamanah-Margamukti,2020-02-19,0,10.16,1.13,-,0
Kertamanah-Margamukti,2020-02-20,0,9.31,1.0,-,0
Kertamanah-Margamukti,2020-02-21,0,8.87,1.0,-,0
Kertamanah-Margamukti,2020-02-22,0,9.16,1.0,-,0
Kertamanah-Margamukti,2020-02-23,0,10.91,1.16,-,0
Kertamanah-Margamukti,2020-02-24,0,13.68,1.28,-,0
Kertamanah-Margamukti,2020-02-25,0,9.16,1.0,-,0
Kertamanah-Margamukti,2020-02-26,0,9.16,1.1,-,0
Kertamanah-Margamukti,2020-02-27,0,10.24,1.13,-,0
Kertamanah-Margamukti,2020-02-28,0,9.8,1.11,-,0
Kertamanah-Margamukti,2020-02-29,0,9.85,1.11,-,0
Kertamanah-Margamukti,2020-03-01,0,8.93,1.0,-,0
Kertamanah-Margamukti,2020-03-02,"3,5",9.17,1.0,-,0
Kertamanah-Margamukti,2020-03-03,4,9.72,1.1,-,0
Kertamanah-Margamukti,2020-03-04,4,9.33,1.0,-,0
Kertamanah-Margamukti,2020-03-05,10,9.17,1.0,-,0
Kertamanah-Margamukti,2020-03-06,24,8.77,1.0,-,0
Kertamanah-Margamukti,2020-03-07,"3,5",9.17,1.0,-,0
Kertamanah-Margamukti,2020-03-08,13,7.8,0.98,-,0
Kertamanah-Margamukti,2020-03-09,"23,5",7.66,0.97,-,0
Kertamanah-Margamukti,2020-03-10,"8,5",9.8,1.0,-,0
Kertamanah-Margamukti,2020-03-11,22,8.88,1.0,-,0
Kertamanah-Margamukti,2020-03-12,"9,5",9.18,1.0,-,0
Kertamanah-Margamukti,2020-03-13,3,09.07,1.0,-,0
Kertamanah-Margamukti,2020-03-14,"3,5",8.13,1.0,-,0
Kertamanah-Margamukti,2020-03-15,"0,01",7.67,0.97,-,0
Kertamanah-Margamukti,2020-03-16,0,8.18,1.0,-,0
Kertamanah-Margamukti,2020-03-17,"8,5",8.14,1.0,-,0
