Kecamatan,Tanggal,Curah Hujan,Debit Air,Muka Air,Tinggi Banjir,Banjir Ya/Tidak
Kertasari,2020-01-01,-,6.82,0.42,-,0
Kertasari,2020-01-02,-,6.54,0.39,-,0
Kertasari,2020-01-03,-,6.16,0.35,-,0
Kertasari,2020-01-04,-,6.0,0.33,-,0
Kertasari,2020-01-05,-,5.89,0.32,-,0
Kertasari,2020-01-06,-,6.75,0.43,-,0
Kertasari,2020-01-07,17,6.37,0.37,-,0
Kertasari,2020-01-08,13,06.03,0.33,-,0
Kertasari,2020-01-09,10,06.01,0.34,-,0
Kertasari,2020-01-10,16,06.09,0.34,-,0
Kertasari,2020-01-11,16.5,6.56,0.41,-,0
Kertasari,2020-01-12,2.5,06.09,0.34,-,0
Kertasari,2020-01-13,3,06.06,0.34,-,0
Kertasari,2020-01-14,-,5.69,0.31,-,0
Kertasari,2020-01-15,-,5.56,0.3,-,0
Kertasari,2020-01-16,-,5.61,0.3,-,0
Kertasari,2020-01-17,-,5.81,0.32,-,0
Kertasari,2020-01-18,3.5,6,0.34,-,0
Kertasari,2020-01-19,-,7.17,0.5,-,0
Kertasari,2020-01-20,-,7.32,0.54,-,0
Kertasari,2020-01-21,16,6.71,0.42,-,0
Kertasari,2020-01-22,26,6.17,0.36,-,0
Kertasari,2020-01-23,-,7.12,0.48,-,0
Kertasari,2020-01-24,25.5,6.9,0.45,-,0
Kertasari,2020-01-25,-,6.78,0.43,-,0
Kertasari,2020-01-26,26,07.04,0.47,-,0
Kertasari,2020-01-27,10,7.42,0.52,-,0
Kertasari,2020-01-28,-,6.78,0.43,-,0
Kertasari,2020-01-29,-,06.05,0.35,-,0
Kertasari,2020-01-30,-,6.98,0.49,-,0
Kertasari,2020-01-31,19,6.54,0.41,-,0
Kertasari,2020-02-01,-,5.88,0.34,-,0
Kertasari,2020-02-02,26,5.81,0.33,-,0
Kertasari,2020-02-03,-,5.65,0.32,-,0
Kertasari,2020-02-04,-,5.6,0.31,-,0
Kertasari,2020-02-05,26,6.0,0.36,-,0
Kertasari,2020-02-06,-,6.56,0.43,-,0
Kertasari,2020-02-07,26,6.91,0.46,-,0
Kertasari,2020-02-08,-,6.13,0.36,-,0
Kertasari,2020-02-09,25,6.81,0.47,-,0
Kertasari,2020-02-10,6,6.53,0.41,-,0
Kertasari,2020-02-11,5,5.75,0.33,-,0
Kertasari,2020-02-12,-,6.18,0.38,-,0
Kertasari,2020-02-13,2,06.04,0.36,-,0
Kertasari,2020-02-14,16,6.77,0.46,-,0
Kertasari,2020-02-15,21,7.98,0.65,-,0
Kertasari,2020-02-16,-,7.51,0.54,-,0
Kertasari,2020-02-17,21,7.32,0.52,-,0
Kertasari,2020-02-18,4,6.86,0.46,-,0
Kertasari,2020-02-19,26,7.15,0.5,-,0
Kertasari,2020-02-20,22,7.4,0.53,-,0
Kertasari,2020-02-21,-,7.44,0.54,-,0
Kertasari,2020-02-22,-,6.65,0.44,-,0
Kertasari,2020-02-23,-,5.9,0.36,-,0
Kertasari,2020-02-24,5,6.26,0.4,-,0
Kertasari,2020-02-25,-,6.57,0.43,-,0
Kertasari,2020-02-26,16,6.13,0.38,-,0
Kertasari,2020-02-27,7,5.92,0.36,-,0
Kertasari,2020-02-28,14,6.48,0.43,-,0
Kertasari,2020-02-29,-,6.69,0.44,-,0
Kertasari,2020-03-01,-,6.96,0.48,-,0
Kertasari,2020-03-02,26,6.91,0.47,-,0
Kertasari,2020-03-03,-,6.32,0.41,-,0
Kertasari,2020-03-04,-,6.0,0.37,-,0
Kertasari,2020-03-05,26,7.0,0.5,-,0
Kertasari,2020-03-06,-,6.67,0.45,-,0
Kertasari,2020-03-07,-,6.82,0.47,-,0
Kertasari,2020-03-08,-,6.71,0.45,-,0
Kertasari,2020-03-09,20.5,6.28,0.41,-,0
Kertasari,2020-03-10,-,5.8,0.36,-,0
Kertasari,2020-03-11,1,5.84,0.36,-,0
Kertasari,2020-03-12,1,6.0,0.39,-,0
Kertasari,2020-03-13,-,5.83,0.36,-,0
Kertasari,2020-03-14,-,6.2,0.4,-,0
Kertasari,2020-03-15,26.4,5.99,0.38,-,0
Kertasari,2020-03-16,5.5,5.96,0.38,-,0
Kertasari,2020-03-17,9.5,5.52,0.34,-,0
Kertasari,2020-03-18,-,5.55,0.34,-,0
Kertasari,2020-03-19,9,5.72,0.35,-,0
Kertasari,2020-03-20,11.5,6.21,0.42,-,0
Kertasari,2020-03-21,22.6,6.76,0.47,-,0
Kertasari,2020-03-22,1.5,6.22,0.41,-,0
Kertasari,2020-03-23,-,5.8,0.36,-,0
Kertasari,2020-03-24,2,5.82,0.37,-,0
Kertasari,2020-03-25,6.6,5.39,0.33,-,0
Kertasari,2020-03-26,33,5.86,0.37,-,0
Kertasari,2020-03-27,8,5.9,0.38,-,0
Kertasari,2020-03-28,-,5.68,0.36,-,0
Kertasari,2020-03-29,-,5.73,0.37,-,0
Kertasari,2020-03-30,34,6.25,0.42,-,0
Kertasari,2020-03-31,33,6.0,0.4,-,0
Kertasari,2020-04-01,7.4,6.26,0.42,-,0
Kertasari,2020-04-02,-,6.19,0.42,-,0
Kertasari,2020-04-03,4,5.92,0.39,-,0
Kertasari,2020-04-04,6.1,5.53,0.35,-,0
Kertasari,2020-04-05,31.9,5.84,0.38,-,0
Kertasari,2020-04-06,34,7.21,0.57,-,0
Kertasari,2020-04-07,12,7.25,0.56,-,0
Kertasari,2020-04-08,22.2,6.14,0.41,-,0
Kertasari,2020-04-09,13,6.1,0.41,-,0
Kertasari,2020-04-10,12,5.95,0.39,-,0
Kertasari,2020-04-11,-,5.81,0.38,-,0
Kertasari,2020-04-12,5,6.0,0.41,-,0
Kertasari,2020-04-13,-,5.89,0.39,-,0
Kertasari,2020-04-14,-,5.76,0.38,-,0
Kertasari,2020-04-15,-,5.43,0.35,-,0
Kertasari,2020-04-16,22,5.59,0.37,-,0
Kertasari,2020-04-17,-,6.23,0.43,-,0
Kertasari,2020-04-18,32,5.74,0.38,-,0
Kertasari,2020-04-19,10,5.38,0.35,-,0
Kertasari,2020-04-20,2.2,5.53,0.37,-,0
Kertasari,2020-04-21,2.1,5.99,0.41,-,0
Kertasari,2020-04-22,3.5,5.67,0.38,-,0
Kertasari,2020-04-23,-,5.7,0.38,-,0
Kertasari,2020-04-24,0,5.56,0.37,-,0
Kertasari,2020-04-25,-,5.39,0.36,-,0
Kertasari,2020-04-26,-,5.15,0.34,-,0
Kertasari,2020-04-27,-,5.49,0.37,-,0
Kertasari,2020-04-28,20.5,5.99,0.41,-,0
Kertasari,2020-04-29,16.5,5.91,0.4,-,0
Kertasari,2020-04-30,5.5,5.89,0.4,-,0
Kertasari,2020-05-01,1,5.43,0.36,-,0
Kertasari,2020-05-02,11.5,5.39,0.36,-,0
Kertasari,2020-05-03,-,5.29,0.35,-,0
Kertasari,2020-05-04,4,5.43,0.37,-,0
Kertasari,2020-05-05,7,5.23,0.35,-,0
Kertasari,2020-05-06,-,5.0,0.34,-,0
Kertasari,2020-05-07,33,5.25,0.35,-,0
Kertasari,2020-05-08,-,5.13,0.34,-,0
Kertasari,2020-05-09,-,4.83,0.32,-,0
Kertasari,2020-05-10,-,5.18,0.35,-,0
Kertasari,2020-05-11,15,5.74,0.4,-,0
Kertasari,2020-05-12,4,5.51,0.38,-,0
Kertasari,2020-05-13,33,05.08,0.34,-,0
Kertasari,2020-05-14,-,05.01,0.34,-,0
Kertasari,2020-05-15,-,5,0.34,-,0
Kertasari,2020-05-16,-,4.86,0.32,-,0
Kertasari,2020-05-17,-,05.08,0.35,-,0
Kertasari,2020-05-18,18,5.21,0.36,-,0
Kertasari,2020-05-19,32.5,5.58,0.39,-,0
Kertasari,2020-05-20,33,5.33,0.37,-,0
Kertasari,2020-05-21,-,5.99,0.45,-,0
Kertasari,2020-05-22,-,4.98,0.34,-,0
Kertasari,2020-05-23,-,5.0,0.35,-,0
Kertasari,2020-05-24,33,5.36,0.37,-,0
Kertasari,2020-05-25,-,5.33,0.37,-,0
Kertasari,2020-05-26,33,5.35,0.38,-,0
Kertasari,2020-05-27,-,6.13,0.46,-,0
Kertasari,2020-05-28,-,5.41,0.38,-,0
Kertasari,2020-05-29,-,5.49,0.4,-,0
Kertasari,2020-05-30,33,5.15,0.36,-,0
Kertasari,2020-05-31,33,5.24,0.37,-,0
Kertasari,2020-06-01,7,5.66,0.41,-,0
Kertasari,2020-06-02,-,5.16,0.36,-,0
Kertasari,2020-06-03,-,4.91,0.34,-,0
Kertasari,2020-06-04,15.5,4.64,0.32,-,0
Kertasari,2020-06-05,-,4.52,0.32,-,0
Kertasari,2020-06-06,-,4.77,0.33,-,0
Kertasari,2020-06-07,-,4.48,0.31,-,0
Kertasari,2020-06-08,3,4.59,0.32,-,0
Kertasari,2020-06-09,-,4.57,0.32,-,0
Kertasari,2020-06-10,3.5,4.9,0.35,-,0
Kertasari,2020-06-11,33,4.42,0.31,-,0
Kertasari,2020-06-12,-,4.73,0.33,-,0
Kertasari,2020-06-13,-,4.58,0.33,-,0
Kertasari,2020-06-14,-,4.32,0.31,-,0
Kertasari,2020-06-15,-,4.64,0.33,-,0
Kertasari,2020-06-16,-,4.71,0.33,-,0
Kertasari,2020-06-17,-,4.46,0.32,-,0
Kertasari,2020-06-18,-,4.48,0.32,-,0
Kertasari,2020-06-19,16.5,4.84,0.35,-,0
Kertasari,2020-06-20,-,4.61,0.33,-,0
Kertasari,2020-06-21,-,4.35,0.31,-,0
Kertasari,2020-06-22,9,4.77,0.34,-,0
Kertasari,2020-06-23,23,4.87,0.34,-,0
Kertasari,2020-06-24,-,4.47,0.32,-,0
Kertasari,2020-06-25,-,4.65,0.33,-,0
Kertasari,2020-06-26,-,4.66,0.33,-,0
Kertasari,2020-06-27,-,4.22,0.3,-,0
Kertasari,2020-06-28,-,4.41,0.31,-,0
Kertasari,2020-06-29,-,4.45,0.31,-,0
Kertasari,2020-06-30,-,4.66,0.32,-,0
Kertasari,2020-07-01,-,4.33,0.3,-,0
Kertasari,2020-07-02,-,4.42,0.31,-,0
Kertasari,2020-07-03,33,4.99,0.34,-,0
Kertasari,2020-07-04,-,4.8,0.33,-,0
Kertasari,2020-07-05,-,4.76,0.32,-,0
Kertasari,2020-07-06,6,4.7,0.32,-,0
Kertasari,2020-07-07,-,4.36,0.3,-,0
Kertasari,2020-07-08,-,4.18,0.29,-,0
Kertasari,2020-07-09,-,04.09,0.33,-,0
Kertasari,2020-07-10,-,4.82,0.32,-,0
Kertasari,2020-07-11,-,4.13,0.28,-,0
Kertasari,2020-07-12,-,3.6,0.26,-,0
Kertasari,2020-07-13,-,3.56,0.26,-,0
Kertasari,2020-07-14,-,4.33,0.31,-,0
Kertasari,2020-07-15,-,3.48,0.25,-,0
Kertasari,2020-07-16,-,3.27,0.24,-,0
Kertasari,2020-07-17,-,3.26,0.23,-,0
Kertasari,2020-07-18,-,3.31,0.24,-,0
Kertasari,2020-07-19,-,3.34,0.24,-,0
Kertasari,2020-07-20,-,3.3,0.24,-,0
Kertasari,2020-07-21,-,04.03,0.24,-,0
Kertasari,2020-07-22,-,3.94,0.27,-,0
Kertasari,2020-07-23,-,4.15,0.27,-,0
Kertasari,2020-07-24,-,3.42,0.28,-,0
Kertasari,2020-07-25,-,3.32,0.24,-,0
Kertasari,2020-07-26,-,3.34,0.23,-,0
Kertasari,2020-07-27,-,3.47,0.23,-,0
Kertasari,2020-07-28,-,3.39,0.24,-,0
Kertasari,2020-07-29,-,3.44,0.23,-,0
Kertasari,2020-07-30,-,3.31,0.24,-,0
Kertasari,2020-07-31,-,3.15,0.23,-,0
Kertasari,2020-08-01,-,3.18,0.22,-,0
Kertasari,2020-08-02,-,3.15,0.22,-,0
Kertasari,2020-08-03,-,3.14,0.22,-,0
Kertasari,2020-08-04,-,3.14,0.22,-,0
Kertasari,2020-08-05,-,3.17,0.22,-,0
Kertasari,2020-08-06,-,3.13,0.21,-,0
Kertasari,2020-08-07,-,2.98,0.21,-,0
Kertasari,2020-08-08,-,3.1,0.22,-,0
Kertasari,2020-08-09,-,3.23,0.21,-,0
Kertasari,2020-08-10,-,03.08,0.21,-,0
Kertasari,2020-08-11,-,03.09,0.22,-,0
Kertasari,2020-08-12,12,3.27,0.22,-,0
Kertasari,2020-08-13,-,3.35,0.26,-,0
Kertasari,2020-08-14,13,04.02,0.25,-,0
Kertasari,2020-08-15,16,3.94,0.25,-,0
Kertasari,2020-08-16,-,3.99,0.24,-,0
Kertasari,2020-08-17,-,3.89,0.22,-,0
Kertasari,2020-08-18,-,3.46,0.21,-,0
Kertasari,2020-08-19,-,3.32,0.22,-,0
Kertasari,2020-08-20,-,3.5,0.21,-,0
Kertasari,2020-08-21,-,3.37,0.22,-,0
Kertasari,2020-08-22,-,3.54,0.22,-,0
Kertasari,2020-08-23,-,3.42,0.23,-,0
Kertasari,2020-08-24,-,3.75,0.21,-,0
Kertasari,2020-08-25,-,3.39,0.22,-,0
Kertasari,2020-08-26,-,3.61,0.21,-,0
Kertasari,2020-08-27,-,3.45,0.21,-,0
Kertasari,2020-08-28,-,3.39,0.2,-,0
Kertasari,2020-08-29,-,3.17,0.2,-,0
Kertasari,2020-08-30,-,3.63,0.2,-,0
Kertasari,2020-08-31,-,3.47,0.2,-,0
Kertasari,2020-09-01,-,3.18,0.21,-,0
Kertasari,2020-09-02,-,3.38,0.19,-,0
Kertasari,2020-09-03,-,3.11,0.2,-,0
Kertasari,2020-09-04,-,3.32,0.19,-,0
Kertasari,2020-09-05,-,3.14,0.19,-,0
Kertasari,2020-09-06,-,3.14,0.19,-,0
Kertasari,2020-09-07,-,3.19,0.19,-,0
Kertasari,2020-09-08,-,3.9,0.19,-,0
Kertasari,2020-09-09,-,3.21,0.2,-,0
Kertasari,2020-09-10,-,3.23,0.19,-,0
Kertasari,2020-09-11,-,3.49,0.19,-,0
Kertasari,2020-09-12,-,3.18,0.19,-,0
Kertasari,2020-09-13,-,3.22,0.2,-,0
Kertasari,2020-09-14,-,3.23,0.19,-,0
Kertasari,2020-09-15,6.5,3.59,0.2,-,0
Kertasari,2020-09-16,-,3.22,0.21,-,0
Kertasari,2020-09-17,-,3.42,0.19,-,0
Kertasari,2020-09-18,-,3.71,0.21,-,0
Kertasari,2020-09-19,-,3.42,0.19,-,0
Kertasari,2020-09-20,-,3.7,0.21,-,0
Kertasari,2020-09-21,14.5,3.48,0.22,-,0
Kertasari,2020-09-22,2.5,3.9,0.2,-,0
Kertasari,2020-09-23,-,3.97,0.19,-,0
Kertasari,2020-09-24,-,3.73,0.19,-,0
Kertasari,2020-09-25,-,3.49,0.2,-,0
Kertasari,2020-09-26,0,3.44,0.19,-,0
Kertasari,2020-09-27,5,3.43,0.19,-,0
Kertasari,2020-09-28,1.5,3.52,0.18,-,0
Kertasari,2020-09-29,-,3.17,0.19,-,0
Kertasari,2020-09-30,-,3.63,0.18,-,0
Kertasari,2020-10-01,-,3.47,0.18,-,0
Kertasari,2020-10-02,-,3.44,0.17,-,0
Kertasari,2020-10-03,8,3.23,0.26,-,0
Kertasari,2020-10-04,8.2,4.73,0.19,-,0
Kertasari,2020-10-05,-,3.68,0.17,-,0
Kertasari,2020-10-06,-,3.19,0.16,-,0
Kertasari,2020-10-07,-,03.07,0.16,-,0
Kertasari,2020-10-08,-,2.99,0.15,-,0
Kertasari,2020-10-09,-,2.83,0.15,-,0
Kertasari,2020-10-10,-,2.89,0.17,-,0
Kertasari,2020-10-11,-,3.13,0.14,-,0
Kertasari,2020-10-12,-,3.33,0.15,-,0
Kertasari,2020-10-13,-,02.08,0.15,-,0
Kertasari,2020-10-14,-,2.89,0.14,-,0
Kertasari,2020-10-15,-,03.02,0.15,-,0
Kertasari,2020-10-16,-,2.75,0.17,-,0
Kertasari,2020-10-17,-,2.91,0.18,-,0
Kertasari,2020-10-18,-,3.44,0.17,-,0
Kertasari,2020-10-19,-,3.62,0.16,-,0
Kertasari,2020-10-20,3,3.43,0.23,-,0
Kertasari,2020-10-21,33,3.33,0.55,-,0
Kertasari,2020-10-22,10.5,4.17,0.34,-,0
Kertasari,2020-10-23,27,7.32,0.34,-,0
Kertasari,2020-10-24,5.5,5.86,0.29,-,0
Kertasari,2020-10-25,-,5.99,0.35,-,0
Kertasari,2020-10-26,33,5.51,0.66,-,0
Kertasari,2020-10-27,3,06.01,0.48,-,0
Kertasari,2020-10-28,12,8.37,0.31,-,0
Kertasari,2020-10-29,2,7.18,0.34,-,0
Kertasari,2020-10-30,-,5.73,0.35,-,0
Kertasari,2020-10-31,33,5.91,0.39,-,0
Kertasari,2020-11-01,17,6.19,9.14,-,0
Kertasari,2020-11-02,-,6.55,8.14,-,0
Kertasari,2020-11-03,3,6.59,7.59,-,0
Kertasari,2020-11-04,3,05.01,7.21,-,0
Kertasari,2020-11-05,-,4.55,7.99,-,0
Kertasari,2020-11-06,4,4.29,7.84,-,0
Kertasari,2020-11-07,-,4.39,9.44,-,0
Kertasari,2020-11-08,-,4.47,9.41,-,0
Kertasari,2020-11-09,-,3.68,7.8,-,0
Kertasari,2020-11-10,-,3.47,7.45,-,0
Kertasari,2020-11-11,-,3.13,11.23,-,0
Kertasari,2020-11-12,-,2.42,10.03,-,0
Kertasari,2020-11-13,-,2.44,8.37,-,0
Kertasari,2020-11-14,3.5,2.45,8.58,-,0
Kertasari,2020-11-15,-,2.46,10.33,-,0
Kertasari,2020-11-16,-,2.41,8.87,-,0
Kertasari,2020-11-17,26,2.34,7.95,-,0
Kertasari,2020-11-18,3.5,2.35,8.28,-,0
Kertasari,2020-11-19,-,2.2,8.39,-,0
Kertasari,2020-11-20,6,2.36,7.9,-,0
Kertasari,2020-11-21,17,02.02,07.08,-,0
Kertasari,2020-11-22,-,2.25,7.25,-,0
Kertasari,2020-11-23,-,3.7,7.25,-,0
Kertasari,2020-11-24,2,4.32,7.32,-,0
Kertasari,2020-11-25,-,3.55,6.11,-,0
Kertasari,2020-11-26,-,3.14,6.99,-,0
Kertasari,2020-11-27,-,2.86,6.69,-,0
Kertasari,2020-11-28,8,2.72,6.61,-,0
Kertasari,2020-11-29,32.2,2.74,6.52,-,0
Kertasari,2020-11-30,-,4.8,6.44,-,0
Kertasari,2020-12-01,17.5,3.82,6.76,-,0
Kertasari,2020-12-02,33,03.07,0.18,-,0
Kertasari,2020-12-03,12,3.88,0.14,-,0
Kertasari,2020-12-04,7,3.4,0.11,-,0
Kertasari,2020-12-05,-,2.74,0.1,-,0
Kertasari,2020-12-06,7,2.52,0.1,-,0
Kertasari,2020-12-07,33,2.49,0.12,-,0
Kertasari,2020-12-08,-,2.95,0.14,-,0
Kertasari,2020-12-09,-,3.37,0.11,-,0
Kertasari,2020-12-10,11.5,2.74,0.1,-,0
Kertasari,2020-12-11,3,2.46,0.1,-,0
Kertasari,2020-12-12,-,2.47,0.11,-,0
Kertasari,2020-12-13,-,2.59,0.1,-,0
Kertasari,2020-12-14,33,2.5,0.12,-,0
Kertasari,2020-12-15,-,2.88,0.12,-,0
Kertasari,2020-12-16,4,2.85,0.15,-,0
Kertasari,2020-12-17,6,3.55,0.14,-,0
Kertasari,2020-12-18,-,3.33,0.12,-,0
Kertasari,2020-12-19,-,2.88,0.11,-,0
Kertasari,2020-12-20,8,2.66,0.1,-,0
Kertasari,2020-12-21,-,2.55,0.1,-,0
Kertasari,2020-12-22,20,2.52,0.11,-,0
Kertasari,2020-12-23,5,2.6,0.13,-,0
Kertasari,2020-12-24,-,3.0,0.11,-,0
Kertasari,2020-12-25,33,2.71,0.11,-,0
Kertasari,2020-12-26,7,2.7,0.17,-,0
Kertasari,2020-12-27,9,4.0,0.12,-,0
Kertasari,2020-12-28,-,2.74,0.1,-,0
Kertasari,2020-12-29,33,3.48,0.11,-,0
Kertasari,2020-12-30,18,5.6,0.15,-,0
Kertasari,2020-12-31,1,4.49,0.31,-,0
Kertasari,2021-01-01,0.16,1.64,0.2,-,0
Kertasari,2021-01-02,0.12,1.39,0.16,-,0
Kertasari,2021-01-03,0.11,1.42,0.12,-,0
Kertasari,2021-01-04,0.1,1.46,0.11,-,0
Kertasari,2021-01-05,0.1,1.44,0.1,-,0
Kertasari,2021-01-06,0.1,1.4,0.1,-,0
Kertasari,2021-01-07,0.1,1.43,0.1,-,0
Kertasari,2021-01-08,0.1,1.42,0.1,-,0
Kertasari,2021-01-09,0.11,1.67,0.1,-,0
Kertasari,2021-01-10,0.33,14.05,0.11,-,0
Kertasari,2021-01-11,0.28,11.21,0.33,-,0
Kertasari,2021-01-12,0.29,6.78,0.28,-,0
Kertasari,2021-01-13,0.2,5.16,0.29,-,0
Kertasari,2021-01-14,0.14,3.9,0.2,-,0
Kertasari,2021-01-15,0.11,02.02,0.14,-,0
Kertasari,2021-01-16,0.1,1.37,0.11,-,0
Kertasari,2021-01-17,0.1,1.25,0.1,-,0
Kertasari,2021-01-18,0.09,1.1,0.1,-,0
Kertasari,2021-01-19,0.13,1.89,0.09,-,0
Kertasari,2021-01-20,0.15,2.55,0.13,-,0
Kertasari,2021-01-21,0.17,2.87,0.15,-,0
Kertasari,2021-01-22,0.32,3.37,0.17,-,0
Kertasari,2021-01-23,0.23,2.66,0.32,-,0
Kertasari,2021-01-24,0.15,02.04,0.23,-,0
Kertasari,2021-01-25,0.3,2.67,0.15,-,0
Kertasari,2021-01-26,0.36,2.57,0.3,-,0
Kertasari,2021-01-27,0.44,04.04,0.36,-,0
Kertasari,2021-01-28,0.43,3.95,0.44,-,0
Kertasari,2021-01-29,0.32,2.65,0.43,-,0
Kertasari,2021-01-30,0.23,1.68,0.32,-,0
Kertasari,2021-01-31,0.29,2.53,0.23,-,0
Kertasari,2021-02-01,0,2.58,0.29,-,0
Kertasari,2021-02-02,10,2.33,0.34,-,0
Kertasari,2021-02-03,26,2.12,0.33,-,0
Kertasari,2021-02-04,1.5,2.16,0.32,-,0
Kertasari,2021-02-05,13.5,2.40,0.31,-,0
Kertasari,2021-02-06,0,2.52,0.36,-,0
Kertasari,2021-02-07,3.5,6.55,0.43,-,0
Kertasari,2021-02-08,20,6.48,0.46,-,0
Kertasari,2021-02-09,0,4.11,0.36,-,0
Kertasari,2021-02-10,3,2.73,0.47,-,0
Kertasari,2021-02-11,2,1.97,0.41,-,0
Kertasari,2021-02-12,0,1.12,0.33,-,0
Kertasari,2021-02-13,33,1.40,0.38,-,0
Kertasari,2021-02-14,3,1.41,0.36,-,0
Kertasari,2021-02-15,0,1.70,0.46,-,0
Kertasari,2021-02-16,1.5,1.79,0.65,-,0
Kertasari,2021-02-17,3.5,1.57,0.54,-,0
Kertasari,2021-02-18,0,1.32,0.52,-,0
Kertasari,2021-02-19,13,2.10,0.46,-,0
Kertasari,2021-02-20,3,1.97,0.5,-,0
Kertasari,2021-02-21,0,1.42,0.53,-,0
Kertasari,2021-02-22,7,1.38,0.54,-,0
Kertasari,2021-02-23,0,1.53,0.44,-,0
Kertasari,2021-02-24,6.5,1.63,0.36,-,0
Kertasari,2021-02-25,1.5,1.50,0.4,-,0
Kertasari,2021-02-26,9,4.17,0.43,-,0
Kertasari,2021-02-27,2,2.34,0.38,-,0
Kertasari,2021-02-28,0,1.97,0.36,-,0
Kertasari,2021-03-01,-,1.66,0.48,-,0
Kertasari,2021-03-02,3,1.44,0.41,-,0
Kertasari,2021-03-03,3.5,2.67,0.41,-,0
Kertasari,2021-03-04,2,2.76,0.37,-,0
Kertasari,2021-03-05,13,2.35,0.50,-,0
Kertasari,2021-03-06,3.5,2.23,0.45,-,0
Kertasari,2021-03-07,44,3.13,0.47,-,0
Kertasari,2021-03-08,8,2.36,0.45,-,0
Kertasari,2021-03-09,3,1.88,0.41,-,0
Kertasari,2021-03-10,-,2.1,0.36,-,0
Kertasari,2021-03-11,3,02.09,0.36,-,0
Kertasari,2021-03-12,-,1.49,0.39,-,0
Kertasari,2021-03-13,4,1.7,0.36,-,0
Kertasari,2021-03-14,13,1.64,0.40,-,0
Kertasari,2021-03-15,-,1.42,0.38,-,0
Kertasari,2021-03-16,31,9.94,0.38,-,0
Kertasari,2021-03-17,9,10.41,0.34,-,0
Kertasari,2021-03-18,14,13.73,0.34,-,0
Kertasari,2021-03-19,1.5,6.24,0.35,-,0
Kertasari,2021-03-20,-,3.22,0.42,-,0
Kertasari,2021-03-21,3,2.12,0.47,-,0
Kertasari,2021-03-22,16,1.8,0.41,-,0
Kertasari,2021-03-23,-,1.57,0.36,-,0
Kertasari,2021-03-24,12,2.98,0.37,-,0
Kertasari,2021-03-25,21,6.91,0.33,-,0
Kertasari,2021-03-26,-,8.85,0.37,-,0
Kertasari,2021-03-27,33,8.3,0.38,-,0
Kertasari,2021-03-28,-,4.41,0.36,-,0
Kertasari,2021-03-29,6,4.38,0.37,-,0
Kertasari,2021-03-30,49,04.03,0.42,-,0
Kertasari,2021-03-31,40,4.52,0.40,-,0
Kertasari,2021-04-01,-,4.31,0.42,-,0
Kertasari,2021-04-02,-,2.74,0.42,-,0
Kertasari,2021-04-03,-,2.25,0.39,-,0
Kertasari,2021-04-04,-,1.94,0.35,-,0
Kertasari,2021-04-05,2.5,1.89,0.38,-,0
Kertasari,2021-04-06,2.5,1.69,0.57,-,0
Kertasari,2021-04-07,-,1.63,0.56,-,0
Kertasari,2021-04-08,-,1.42,0.41,-,0
Kertasari,2021-04-09,1.5,1.4,0.41,-,0
Kertasari,2021-04-10,2.5,1.34,0.39,-,0
Kertasari,2021-04-11,3,2.2,0.38,-,0
Kertasari,2021-04-12,4,1.94,0.41,-,0
Kertasari,2021-04-13,13.5,1.72,0.39,-,0
Kertasari,2021-04-14,9,1.74,0.38,-,0
Kertasari,2021-04-15,7,2.44,0.35,-,0
Kertasari,2021-04-16,0.5,1.81,0.37,-,0
Kertasari,2021-04-17,-,2.24,0.43,-,0
Kertasari,2021-04-18,1,1.75,0.38,-,0
Kertasari,2021-04-19,-,1.67,0.35,-,0
Kertasari,2021-04-20,-,1.51,0.37,-,0
Kertasari,2021-04-21,-,1.34,0.41,-,0
